patent_number	patent_title	patent_abstract
7459165	Polypeptides of Pseudomonas aeruginosa	The present invention relates to polypeptides of Pseudomonas aeruginosa which may be used to prevent, diagnose and/or treat Pseudomonas aeruginosa infection.
7494653	Method and compositions for immunization with the Pseudomonas V antigen	A method of inhibiting, moderating or diagnosing Pseudomonas aeruginosa infection is disclosed. In one embodiment, this method comprises inoculating a patient with an effective amount of PcrV antigen.
7511117	Compositions and methods for treating HIV infection with cupredoxin and cytochrome c	The present invention relates to cupredoxin, specifically Pseudomonas aeruginosa azurin, and/or Pseudomonas aeruginosa cytochrome c551 and their use in inhibiting of viral infection, and in particular infection of mammalian cells by the Human Immunodeficiency Virus (HIV). The invention also relates to variants and derivatives of cupredoxin and cytochrome c that retain the ability to inhibit viral infection, and in particular infection by the Human Immunodeficiency Virus (HIV). The invention also relates to research methods for studying viral and bacterial infection in mammalian cells.
7517533	Pseudomonas aeruginosa antigens	Proteins derived from Pseudomonas aeruginosa are antigenic and are of use in the treatment, prophylaxis and diagnosis of P. aeruginosa infection.
7517684	Nucleic acid and amino acid sequences relating to Pseudomonas aeruginosa for diagnostics and therapeutics	The invention provides isolated polypeptide and nucleic acid sequences derived from Pseudomonas aeruginosa that are useful in diagnosis and therapy of pathological conditions; antibodies against the polypeptides; and methods for the production of the polypeptides. The invention also provides methods for the detection, prevention and treatment of pathological conditions resulting from bacterial infection.
7517980	Glycomimetric inhibitors of the PA-IL lectin, PA-IIL lectin or both the lectins from Pseudomonas	Compositions and methods are provided related to Pseudomonas bacteria. The compositions and methods may be used for diagnosis and therapy of medical conditions involving infection with Pseudomonas bacteria. Such infections include Pseudomonas aeruginosa in the lungs of patients with cystic fibrosis. A compound useful in the present methods may be used in combination with a therapeutic agent or may be linked to a therapeutic agent. Pseudomonas bacteria may be inhibited by blocking colonization, inhibiting virulence factors, arresting growth or killing the bacteria.
7531650	Cephalosporin salts in crystalline form	The present invention relates to cephalosporin of formula (I) in crystalline form. The compound of formula (I) in crystalline form is useful as antibiotics having potent and broad antibacterial activity; especially against methicillin resistant Staphylococci (MRSA) and Pseudomonas aeruginosa.
7553626	Primer set capable of specifically amplifying a target sequence found in 10 bacterial species and probe oligonucleotide specifically hybridizable with each target sequence of the 10 bacterial species	Provided are a primer set for amplifying a target sequence specific to Bordetella pertussis, Chlamydophila pneumoniae, Haemophilus influenzae, Klebsiella pneumoniae, Legionella pneumophila, Moraxella catarrhalis, Mycoplasma pneumoniae, Pseudomonas aeruginosa, Stapylococcus aureus, and Streptococcus pneumoniae, the primer set including at least one oligonucleotide of 10 to 100 nucleotides in length, selected from the group consisting of oligonucleotides each of which comprises a fragment of at least 10 contiguous nucleotides present in a sequence as set forth in SEQ ID NO: 1 and at least one oligonucleotides of 10 to 100 nucleotides in length, selected from the group consisting of oligonucleotides each of which comprises a fragment of at least 10 contiguous nucleotides present in a sequence as set forth in SEQ ID NO: 2; and probes specific to a specific species of the 10 bacterial species.
7582604	Template-fixed peptidomimetics with antibacterial activity	Template-fixed β-hairpin peptidomimetics of the general formula (I), wherein Z is a template-fixed chain of 12 α-amino acid residues which, depend on their positions in the chain (counted starting from the N-terminal amino acid) are Gly, or Pro, or of certain types which, as the remaining symbols in the above formula, are defined in the description and the claims, and salts thereof, have the property to selectively inhibit the growth of or to kill microorganisms such as Pseudomonas aeruginosa and Acinetobacter. They can be used as disinfectants for foodstuff, cosmetics, medicaments or other nutrient-containing materials, or as medicaments or treat or prevent infections. In a specific embodiment, the template is based on the D-Pro-L-Pro dipeptide. These β-hairpin peptidomimetics can be manufactured by processes which are based on a mixed solid- and solution phase synthetic strategy.
7611714	Methods and compositions for immunizing against Pseudomonas infection	Methods and compositions for inducing an immune response against Pseudomonas aeruginosa are provided herein. In one aspect, the invention provides a chimeric immunogen, comprising a receptor binding domain, a translocation domain, and a Pseudomonas pilin peptide comprising an amino acid sequence that is TAADGLWKCTSDQDEQFIPKGCSK (SEQ ID NO.:1), wherein the chimeric immunogen, when administered to a subject, induces an immune response in said subject that is effective to reduce adherence of a microorganism that expresses said Pseudomonas pilin peptide to epithelial cells of said subject. In other aspects, the invention provides nucleic acids encoding chimeric immunogens of the invention, kits comprising chimeric immunogens of the invention, cells expressing chimeric immunogens of the invention, and methods of using chimeric immunogens of the invention.
7618939	Compositions and methods to prevent cancer with cupredoxins	The present invention relates to compositions comprising peptides that may be variants, derivatives and structural equivalents of cupredoxins that inhibit the development of premalignant lesions in mammalian cells, tissues and animals. Specifically, these compositions may comprise azurin from Pseudomonas aeruginosa, and/or the 50-77 residue region of azurin (p28). The present invention further relates to compositions that may comprise cupredoxin(s), and/or variants, derivatives or structural equivalents of cupredoxins, that retain the ability to inhibit the development of premalignant lesions in mammalian cells, tissues or animals. These compositions may be peptides or pharmaceutical compositions, among others. The compositions of the invention may be used to prevent the development of premalignant lesions in mammalian cells, tissues and animals, and thus prevent cancer.
7622293	Pseudomonas aeruginosa: bacteriophage and uses thereof	The present invention is directed to isolated bacteriophage having strong lytic activity against strains of Pseudomonas aeruginosa, and methods of using that bacteriophage, and/or progeny or derivatives derived therefrom, to control the growth of Pseudomonas aeruginosa in various settings.
7629141	Essential and important genes of Pseudomonas aeruginosa and the use thereof to design or identify antibacterial agents	The invention includes a database of candidate essential genes in Pseudomonas aeruginosa, as well as other important genes that, when mutated, lead to a growth attenuated phenotype. Such genes and mutants of such genes are important for identifying antibacterial agents suitable for treating and preventing Pseudomonas aeruginosa infections. The invention includes methods for confirming the essentiality or importance of candidate genes, as well as methods for utilizing those genes to screen for new antibacterial drugs. The invention also includes the antibacterial agents identified using the disclosed methods, as well as methods of using the same for treating and preventing Pseudomonas infection.
7696178	Optimised formulation of tobramycin for aerosolization	The invention provides a tobramycin formulation for delivery by aerosolization in the form of additive-free, isotonic solution whose pH has been optimised to ensure adequate shelf-life at room temperature. Said formulation can be advantageously used for the treatment and prophylaxis of acute and chronic endobronchial infections, in particular those caused by the bacterium Pseudomonas aeruginosa associated to lung diseases such as cystic fibrosis.
7700729	Modified bacteriocins and methods for their use	Modified forms of naturally occurring bacteriocins, such as the R-type pyocins of Pseudomonas aeruginosa, are disclosed as are methods for producing them in GRAS organisms. The bacteriocins are modified at the ends of their tail fibers in a region responsible for binding specificity and affinity to their cognate binding partners, or receptors, such as those on the surface of bacteria. Methods for the use of the modified bacteriocins, such as to bind receptors, including virulence or fitness factors, on the surfaces of bacteria, are also described.
7704506	Fcε-PE chimeric protein for targeted treatment of allergy responses a method for its production and pharmaceutical compositions containing the same	The present invention generally relates to a new approach for the therapy of allergic responses, based on targeted elimination of cells expressing the FcεRI receptor by a chimeric cytotoxin FC2′-3-PE40. A sequence encoding amino acids 301-437 of the Fc region of the mouse IgE molecule was genetically fused to PE40—a truncated form of PE lacking the cell binding domain. The chimeric protein, produced in E. coli, specifically and efficiently kills mouse mast cell lines expressing the FcεRI receptor, as well as primary mast cells derived from bone marrow. The present invention provides a chimeric protein for targeted elimination of FcεRI expressing cells especially useful for the therapy of allergic responses. The said chimeric protein is comprised of a cell targeting moiety for FcεRI expressing cells and a cell killing moiety. The preferred killing moiety is the bacterial toxin Pseudomonas exotoxin (PE). This Pseudomonas exotoxin is a product of Pseudomonas aeruginosa. The present invention also relates to a method for the preparation of said protein. This chimeric protein is prepared by genetically fusing the Fc region of the mouse IgE molecule to PE40, a truncated form of PE lacking the cell binding domain. The present invention also provides pharmaceutical compositions, for the treatment of allergic diseases and for the treatment of hyperplasias and malignancies, comprising as an active ingredient the above mentioned chimeric protein and a conventional adjuvant product.
7732586	Modified bacteriocins and methods for their use	Modified forms of naturally occurring bacteriocins, such as the R-type pyocins of Pseudomonas aeruginosa, are disclosed. The bacteriocins are modified at the ends of their tail fibers in a region responsible for binding specificity and affinity to their cognate binding partners, or receptors, such as those on the surface of bacteria. Methods for the use of the modified bacteriocins, such as to bind receptors, including virulence or fitness factors, on the surfaces of bacteria, are also described.
7736879	Process for bio-bleaching of kraft pulp using bacterial consortia	The present invention relates to an environment friendly, safe, and efficient four-step method of bio-bleaching Kraft pulp using the following strains of bacteria: (a) Serratia marcescens, MTCC 5094, (b) Pseudomonas aeruginosa, MTCC 5095, (c) Providencia rettgeri, MTCC 5096, (d) Pseudomonas aeruginosa, MTCC 5098. The present invention also provides a microbial consortium comprising a synergistic mixture of ligninolytic bacterial isolates Serratia marcescens, MTCC 5094, Pseudomonas aeruginosa, MTCC 5095, and Pseudomonas aeruginosa, MTCC 5098, or comprising bacterial strains Providencia rettgeri, MTCC 5096, Serratia marcescens, MTCC 5094, Pseudomonas aeruginosa, MTCC 5095, and Pseudomonas aeruginosa, MTCC 5098, and a process for preparing an inoculum of the bacterial isolate Providencia rettgeri, MTCC 5096. Also provided is a process for the preparation of a consortium comprising the ligninolytic bacterial isolates Serratia marcescens, MTCC 5094, Pseudomonas aeruginosa, MTCC 5095, and Pseudomonas aeruginosa, MTCC 5098, as well as a process for the preparation of a pulp suspension for bio-bleaching.
7740853	Fcepsilon-pe chimeric protein for targeted treatment of allergy responses a method for its production and pharmaceutical compositions containing the same	The present invention generally relates to a new approach for the therapy of allergic responses, based on targeted elimination of cells expressing the FcεRI receptor by a chimeric cytotoxin Fc2′-3-PE40. A sequence encoding amino acids 301-437 of the Fc region of the mouse IgE molecule was genetically fused to PE40′—a truncated form of PE lacking the cell binding domain. The chimeric protein, produced in E. coli, specifically and efficiently kills mouse mast cell lines expressing the FcεRI receptor, as well as primary mast cells derived from bone marrow. The present invention provides a chimeric protein for targeted elimination of FcεRI expressing cells especially useful for the therapy of allergic responses. The said chimeric protein is comprised of a cell targeting moiety for FcεRI expressing cells and a cell killing moiety. The preferred killing moiety is the bacterial toxin Pseudomonas exotoxin (PE). This Pseudomonas exotoxin is a product of Pseudomonas aeruginosa. The present invention also relates to a method for the preparation of said protein. This chimeric protein is prepared by genetically fusing the Fc region of the mouse IgE molecule to PE40, a truncated form of PE lacking the cell binding domain. The present invention also provides pharmaceutical compositions, for the treatment of allergic diseases and for the treatment of hyperplasias and malignancies, comprising as an active ingredient the above mentioned chimeric protein and a conventional adjuvant product.
7754227	Method of immunizing humans against Salmonella typhi using a Vi-rEPA conjugate vaccine	This invention relates to conjugates of the Vi polysaccharide of S. typhi with the carrier Pseudomonas aeruginosa recombinant exoprotein A (rEPA), and compositions thereof, and to methods of using of these conjugates and/or compositions thereof for eliciting an immunogenic response in humans, including responses which provide protection against, or reduce the severity of, S. typhi bacterial infections. The conjugates, and compositions thereof, are useful as vaccines to induce serum antibodies against S. typhi and are useful to prevent and/or treat illnesses caused by S. typhi.
7781166	Methods of detecting and controlling mucoid pseudomonas biofilm production	Compositions and methods for detecting and controlling the conversion to mucoidy in Pseudomonas aeruginosa are disclosed. The present invention provides for detecting the switch from nonmucoid to mucoid state of P. aeruginosa by measuring mucE expression or MucE protein levels. The interaction between MucE and AlgW controls the switch to mucoidy in wild type P. aeruginosa. Also disclosed is an alginate biosynthesis heterologous expression system for use in screening candidate substances that inhibit conversion to mucoidy.
7795410	Compositions and methods for treating HIV infection with cupredoxin and cytochrome c	The present invention relates to cupredoxin, specifically Pseudomonas aeruginosa azurin, and/or Pseudomonas aeruginosa cytochrome c551 and their use in inhibiting of viral infection, and in particular infection of mammalian cells by the Human Immunodeficiency Virus (HIV). The invention also relates to variants and derivatives of cupredoxin and cytochrome c that retain the ability to inhibit viral infection, and in particular infection by the Human Immunodeficiency Virus (HIV). The invention also relates to research methods for studying viral and bacterial infection in mammalian cells.
7803407	Disinfectant and method of making	A non-toxic environmentally friendly aqueous disinfectant is disclosed for specific use as prevention against contamination by potentially pathogenic bacteria and virus. The aqueous disinfectant is formulated by electrolytically generating silver ions in water in combination with a citric acid. The aqueous disinfectant may include a suitable alcohol and/or a detergent. The aqueous disinfectant has been shown to be very effective at eliminating standard indicator organisms such as staphylococcus aureus, salmonella cholerasuis and pseudomonas aeruginosa.
7939319	Tool for the transfer and production of proteins using the pseudomonas type III secretion system	The present invention provides a vector for expression of a chimeric protein which is the result of the fusion between the N-terminal end of ExoS of Pseudomonas aeruginosa and an amino acid sequence of interest, the N-terminal end of ExoS corresponding to the N-terminal end of the chimeric protein. The vector contains the following from 5′ to 3′:
7939502	Optimised formulation of tobramycin for aerosolization	The invention provides a tobramycin formulation for delivery by aerosolization in the form of additive-free, isotonic solution whose pH has been optimised to ensure adequate shelf-life at room temperature. Said formulation can be advantageously used for the treatment and prophylaxis of acute and chronic endobronchial infections, in particular those caused by the bacterium Pseudomonas aeruginosa associated to lung diseases such as cystic fibrosis.
7966767	Enhanced plant growth using alkane biostimulation	A method of enhancing plant growth comprises the step of introducing an alkane into a location adjacent to a plant. The alkane can be introduced intermittently, and can be combined with another gas and/or nutrients. The alkane preferably comprises a butane substrate. The butane substrate can stimulate the growth of butane-utilizing bacteria, such as Aeromonas caviae, Stenotrophomonas maltophilia, Micrococcus varians, Aureobacterium esteroaromaticum, Aureobacterium barkeri, Rhodococcus fascians, Nocardia paradoxus, Comamonas acidovorans and Pseudomonas aeruginosa. The alkane can increase the amount of heterotrophic bacteria in the location adjacent to the plant, and thereby accelerate a heterotrophic nitrification process. The butane substrate can also stimulate the growth of butane-utilizing fungi. The method can also enhance the growth protists and/or prokaryotes. A system for enhancing plant growth in accordance with the method is also disclosed.
7972845	Human antibodies against Pseudomonas aeruginosa LPS derived from transgenic xenomouse	The invention described herein provides for human antibodies produced in non-human animals that specifically bind to Pseudomonas aeruginosa Lipopolysaccharide (LPS). The invention further provides methods for making the antibodies in a non-human animal, expression of the antibodies in cell lines including hybridomas and recombinant host cell systems. Also provided are kits and pharmaceutical compositions comprising the antibodies and methods of treating or preventing pseudomonas infection by administering to a patient the pharmaceutical compositions described herein.
7976851	Non-toxic biofilm inhibitor	The present invention relates to a composition and method for preventing or inhibiting biofilm formation on biotic or abiotic surfaces. The composition comprises a peptide based on the C-terminal receptor binding domain of Pseudomonas aeruginosa type IV pilin, which binds to an abiotic surface (e.g., steel, plastic) with high affinity and prevents binding of a variety of P. aeruginosa strains to the surface. The inventive composition represents a non-toxic inhibitor for biofilm formation, particularly on an abiotic surface, which is responsible for a large number of problematic diseases and massive economic losses. The inventive method is useful as a safe and environmentally friendly means of modifying a surface of a variety of biomedical, nanotechnological, and biotechnological devices or articles.
7985410	Method or agent for inhibiting the function of efflux pump Pseudomonas aeruginosa	The purpose of the present invention is to provide a method and an agent to efficiently inhibit the function of the drug efflux pump of Pseudomonas aeruginosa. The invention provides a method to inhibit the function of the drug efflux pump of Pseudomonas aeruginosa, comprising modifying any amino acid residue selected from 100th to 109th or 311th to 320th amino acid residues in the amino acid sequence of mature OprM protein. The invention also provides an agent having such inhibitory effect, and a screening method thereof.
8017749	Compositions and methods to treat cancer with cupredoxins and CpG rich DNA	The present invention relates to compositions comprising CpG rich DNA from Pseudomonas aeruginosa. The compositions optionally comprise a cupredoxin. The present invention includes specific CpG DNAs from Pseudomonas aeruginosa that are useful for treating cancer and other conditions in patients. These compositions are optionally in a pharmaceutically acceptable carrier and also optionally comprise a cupredoxin. The present invention further relates to methods to express proteins near cancer cells. These methods may be used to express therapeutic or diagnostic proteins near cancer cells in a patient suffering from cancer or other conditions, and can also be used for diagnosing cancer in a patient. This method uses the gene for azurin from P. aeruginosa as an expression system for azurin or heterologous proteins in P. aeruginosa or heterologous cells.
8044181	Antibodies to the PcrV antigen of Pseudomonas aeruginosa	The current invention provides high-affinity antibodies to the Pseudomonas aeruginosa PcrV protein that have reduced immunogenicity when administered to treat Pseudomonas aeruginosa infections.
8084044	Pseudomonas aeruginosa outer membrane protein PA0427	An object of the present invention is to provide a protein or peptide antigen and an antibody against it, for use in the diagnosis, prevention, or treatment of diseases associated with Pseudomonas aeruginosa. According to the present invention, there is provided a protein or peptide derived from Pseudomonas aeruginosa outer membrane protein PA0427 and an antibody against it, for use in the diagnosis, prevention, or treatment of diseases associated with Pseudomonas aeruginosa.
8093377	Cephalosporin in crystalline form	The present invention relates to cephalosporin of formula (I) in crystalline form. The compound of formula (I) in crystalline form is useful as antibiotics having potent and broad antibacterial activity; especially against methicillin resistant Staphylococci (MRSA) and Pseudomonas aeruginosa.
8101347	Method and compositions for immunization with the Pseudomonas V antigen	A method of inhibiting, moderating or diagnosing Pseudomonas aeruginosa infection is disclosed. In one embodiment, this method comprises inoculating a patient with an effective amount of PcrV antigen.
8128922	Superior molecular vaccine linking the translocation domain of a bacterial toxin to an antigen	Nucleic acids encoding a chimeric or fusion polypeptide which polypeptide comprises a first domain comprising a translocation polypeptide; and a second domain comprising at least one antigenic peptide are disclosed. The preferred translocation polypeptide is a bacterial toxin translocation polypeptide, such as domain II of Pseudomonas aeruginosa exotoxin A (ETA(dII)). Such nucleic acids, expression vectors thereof, and cells expressing these vectors are used as vaccine compositions in a method for enhancing an antigen specific immune response, a method of increasing the numbers of CD8+ CTLs specific for a selected desired antigen in a subject, or a method of inhibiting the growth of a tumor in a subject.
8153597	Modulators of the ABC transporter family and methods for their use	An isolated factor derived from the bacterium Pseudomonas aeruginosa and confirmed by proteomics to be a protein that reduces expression of ABC transmembrane proteins and active fragments and mimetics thereof are provided. Also provided is a method for inhibiting expression of ABC transmembrane proteins in cells by administering to the cells the isolated factor or protein or active fragment thereof or a mimetic thereof. Such methods are useful in the enhancing delivery of small molecule therapeutic agents to the CNS and in treating cancers, particularly multidrug resistant cancers, and secretory diarrhea. In addition, compositions, methods for identifying compositions and methods for use of compositions that inhibit suppression of ABC transmembrane protein expression or reduce epoxide hydrolase activity by this factor are provided. Such compositions and methods are useful in treatment of cystic fibrosis.
8158574	Compositions and methods to prevent cancer with cupredoxins	The present invention relates to compositions and methods comprising chemopreventive agents that may be cupredoxin(s) or variants, derivatives and structural equivalents of cupredoxins, and at least one other chemopreventive agent. Specifically, these compositions may comprise azurin from Pseudomonas aeruginosa, and/or the 50-77 residue region of azurin (p28). The at least one other chemopreventive agent may comprise an antiestrogen such as Tamoxifen. The compositions of the invention may be used to prevent the development of premalignant lesions in mammalian cells, tissues and animals, and thus prevent cancer.
8168598	Optimised formulation of tobramycin for aerosolization	The invention provides a tobramycin formulation for delivery by aerosolization in the form of additive-free, isotonic solution whose pH has been optimised to ensure adequate shelf-life at room temperature. Said formulation can be advantageously used for the treatment and prophylaxis of acute and chronic endobronchial infections, in particular those caused by the bacterium Pseudomonas aeruginosa associated to lung diseases such as cystic fibrosis.
8202520	Method of immunizing humans against Salmonella typhi using a Vi-rEPA conjugate vaccine	This invention relates to conjugates of the Vi polysaccharide of S. typhi with the carrier Pseudomonas aeruginosa recombinant exoprotein A (rEPA), and compositions thereof, and to methods of using of these conjugates and/or compositions thereof for eliciting an immunogenic response in humans, including responses which provide protection against, or reduce the severity of, S. typhi bacterial infections. The conjugates, and compositions thereof, are useful as vaccines to induce serum antibodies against S. typhi and are useful to prevent and/or treat illnesses caused by S. typhi.
8206971	Modified bacteriocins and methods for their use	Modified forms of naturally occurring bacteriocins, such as the R-type pyocins of Pseudomonas aeruginosa, are disclosed as are methods for producing them in GRAS organisms. The bacteriocins are modified at the ends of their tail fibers in a region responsible for binding specificity and affinity to their cognate binding partners, or receptors, such as those on the surface of bacteria. Methods for the use of the modified bacteriocins, such as to bind receptors, including virulence or fitness factors, on the surfaces of bacteria, are also described.
8227402	Compositions and methods to prevent cancer with cupredoxins	The present invention relates to compositions comprising peptides that may be variants, derivatives and structural equivalents of cupredoxins that inhibit the development of premalignant lesions in mammalian cells, tissues and animals. Specifically, these compositions may comprise azurin from Pseudomonas aeruginosa, and/or the 50-77 residue region of azurin (p28). The present invention further relates to compositions that may comprise cupredoxin(s), and/or variants, derivatives or structural equivalents of cupredoxins, that retain the ability to inhibit the development of premalignant lesions in mammalian cells, tissues or animals. These compositions may be peptides or pharmaceutical compositions, among others. The compositions of the invention may be used to prevent the development of premalignant lesions in mammalian cells, tissues and animals, and thus prevent cancer.
8258290	Glycomimetic inhibitors of the PA-IL lectin, PA-IIL lectin or both the lectins from pseudomonas	Compositions and methods are provided related to Pseudomonas bacteria. The compositions and methods may be used for diagnosis and therapy of medical conditions involving infection with Pseudomonas bacteria. Such infections include Pseudomonas aeruginosa in the lungs of patients with cystic fibrosis. A compound useful in the present methods may be used in combination with a therapeutic agent or may be linked to a therapeutic agent. Pseudomonas bacteria may be inhibited by blocking colonization, inhibiting virulence factors, arresting growth or killing the bacteria.
8282920	Phage therapy against Pseudomonas aeruginosa	This invention relates to a bacteriophage MPK6 (deposit number: KCCM 11044P) having a lytic activity to Pseudomonas aeruginosa, or a progeny bacteriophage thereof having a RFLP (Restriction fragment length polymorphism) DNA profile substantially equivalent to the bacteriophage MPK6. The present invention provides a bacteriophage MPK6 or a progeny bacteriophage thereof capable of treating a Pseudomonas aeruginosa infection disease, and suggests an anti-bacterial activity of MPK6 and its progeny bacteriophage using a mammalian and non-mammalian infection model. According to the present invention, the present bacteriophage MPK6 or progeny bacteriophage thereof represents very effective efficacy on treatment of P. aeruginosa-induced peritonitis-sepsis.
8293517	Methods and compositions for the identification of antibiotics that are not susceptible to antibiotic resistance in Pseudomonas aeruginosa	The “instant evolution” system was initially developed in E. coli, primarily because of the ease with which this organism can be genetically manipulated. Because many of the functionally important regions of rRNA are conserved among bacteria, drug leads developed against conserved targets in the E. coli system may produce broad-spectrum anti-infectives. However, in order the develop a system to product narrow-spectrum anti-infectives, herein we disclose method and compositions for screening Pseudomonas aeruginosa 16S rRNA in E. coli cells. In certain embodiments, a plasmid comprising the 16S rRNA gene from Pseudomonas aeruginosa t mutated to replace the natural helix 9 region with the corresponding region of the E. coli rRNA, is shown to form functional ribosomes in E. coli host cells. Li other embodiments, a plasmid, comprising the unmutated 16S rRNA from Pseudomonas aeruginosa, along with a plasmid containing the Pseudomonas aeruginosa S20 protein, can yield functional ribosomes in E. coli cells.
8343505	Subunit vaccine for aquaculture	An aquatic subunit vaccine comprises an antigenic fusion protein and suitable carrier or adjuvant. The antigenic fusion protein sequence consists from its amino terminus to carboxyl terminus of a receptor binding motif and a translocation domain of Pseudomonas aeruginosa exotoxin A and has the amino acid sequence of SEQ ID No: 8; a viral antigenic protein affecting fish disease; and a signal peptide having the amino acid sequence of SEQ ID No: 10.
8367720	Andrographolide derivatives and use thereof in manufacture of medicaments	The present invention relates to an andrographolide derivative of the formula (I), wherein R1, R2 and R3 are same or different substituents selected from hydrogen, substituted or unsubstituted organic acid radicals, inorganic acid radicals, alkyl, aryl or heteroaryl, and at least one of R1, R2 and R3 is R-lipoic acid, S-lipoic acid or a mixture thereof, or corresponding dihydrolipoic acids thereof, or N-acetylcysteine radical. The derivative has good antitumor effect, can induce apoptosis of tumor cells, can directly kill Gram-positive bacteria (staphylococcus aureus) and drug resistance bacteria (MRSA5676 and MRSA5677), can inhibit the QS-system of Gram-negative bacteria (Pseudomonas aeruginosa), can inhibit and destroy the formation of biofilm of Pseudomonas aeruginosa; and exhibits significant hypoglycemic effect, so that it can be used in manufacture of medicaments for treatment of cancers, inflammation, diabetes, and bacterial and viral infections.
8399496	Inhalable aztreonam lysinate formulation for treatment and prevention of pulmonary bacterial infections	A method and a composition for treatment of pulmonary bacterial infections caused by gram-negative bacteria suitable for treatment of infection caused by Escherichia coli, Klebsiella pneumoniae, Klebsiella oxytoca, Pseudomonas aeruginosa, Haemophilus influenzae, Proteus mirabilis, Enterobacter species, Serratia marcescens as well as those caused by Burkholderia cepacia, Stenotrophomonas maltophilia, Alcaligenes xylosoxidans, and multidrug resistant Pseudomonas aeruginosa, using a concentrated formulation of aztreonam lysinate delivered as an aerosol or dry powder formulation.
8399649	Methods of detecting and controlling mucoid Pseudomonas biofilm production	Compositions and methods for detecting and controlling the conversion to mucoidy in Pseudomonas aeruginosa are disclosed. The present invention provides for detecting the switch from nonmucoid to mucoid state of P. aeruginosa by measuring mucE expression or MucE protein levels. The interaction between MucE and AlgW controls the switch to mucoidy in wild type P. aeruginosa. Also disclosed is an alginate biosynthesis heterologous expression system for use in screening candidate substances that inhibit conversion to mucoidy.
8454977	Non-toxic biofilm inhibitor	The present invention relates to a composition, device and method for preventing or inhibiting biofilm formation on biotic or abiotic surfaces. The composition comprises a peptide based on the C-terminal receptor binding domain of Pseudomonas aeruginosa type IV pilin, which binds to an abiotic surface (e.g., steel, plastic) with high affinity and prevents binding of a variety of P. aeruginosa strains to the surface. The inventive composition represents a non-toxic inhibitor for biofilm formation, particularly on an abiotic surface, which is responsible for a large number of problematic diseases and massive economic losses. The inventive method is useful as a safe and environmentally friendly means of modifying a surface of a variety of biomedical, nanotechnological, and biotechnological devices or articles.
8460689	Oral care method and kit	A method of moisturizing while decolonizing mammalian tissue, the method comprising applying a multi-valent cationic antiseptic composition to the tissue, and applying a moisturizer composition to at least a portion of the same tissue; wherein the mammalian tissue is oral tissue of a subject; wherein the multi-valent cationic antiseptic is other than a metal ion; and wherein the applied compositions essentially exclude any component which causes a precipitate when combined with a multi-valent cationic antiseptic contained in the multi-valent cationic antiseptic composition when tested according to Test Method F, and/or wherein the moisturizer composition is such that a log reduction in the number of viable bacterial cells of at least 2 is provided when 106 cfu of Pseudomonas aeruginosa are combined with a mixture 1.1 g of the moisturizer composition and 1.5 g of the multi-valent cationic antiseptic composition containing 0.12 weight percent of the multi-valent cationic antiseptic according to Test Method B; an oral care kit comprising a composition comprising the multi-valent cationic antiseptic and the moisturizer composition; and a method of moisturizing oral tissue of a patient requiring intubation using the moisturizer composition and an endotracheal tube coated or impregnated with a cationic antiseptic are provided.
8470883	Preservative system and composition based on glycinate and hydroxyethyl sulfonate salt combination	A preservative system and a personal care composition containing that system is provided which includes the preservative combination of a C10-C24 acyl glycinate salt and a hydroxyethyl sulfonate salt. This preservative system is effective against gram negative bacteria, particularly Pseudomonas aeruginosa.
8501179	Antibody against PcrV	Provided is an effective means for therapy of infection, particularly infection with Pseudomonas aeruginosa. Provided are a monoclonal antibody against PcrV or a part thereof, and a pharmaceutical composition containing the same as an active ingredient. Concretely, monoclonal antibody of the present invention has excellent inhibiting activity on cytotoxicity with respect to a target cell of Pseudomonas aeruginosa. Also, the monoclonal antibody of the present invention has high affinity with PcrV.
8519166	System and method for controlling growth of microorganisms with brominated furanones	A method for inhibiting the growth of a microorganism using an effective amount of one or more of the following synthetic brominated furanones: (i) 4-bromo-5Z-(bromomethylene)-3-methylfuran-2-one; (ii) 3-(dibromomethyl)-5-(dibromomethylene)furan-2-one; (iii) 3-(bromomethyl)-5-(dibromomethylene)furan-2-one; (iv) 4-bromo-3-(bromomethyl)-5Z-(bromomethylene)furan-2-one; or (v) 4-bromo-5-(dibromomethyl)-3-methylfuran-2(5H)-one. The brominated furanones inhibit the growth of both fungi and bacteria, including the fungal species Candida albicans, Gloeophyllum trabeum, Chaetomium globosum, and Trametes versicolor and the bacterial species Pseudomonas aeruginosa. The brominated furanones can be used topically or internally to treat human infections, and can be used to treat other objects, such as wood building supplies, to prevent fungal rot.
8530680	System and method for controlling growth of microorganisms with brominated furanones	A method for inhibiting the growth of a microorganism using an effective amount of one or more of the following synthetic brominated furanones: (i) 4-bromo-5Z-(bromomethylene)-3-methylfuran-2-one; (ii) 3-(dibromomethyl)-5-(dibromomethylene)furan-2-one; (iii) 3-(bromomethyl)-5-(dibromomethylene)furan-2-one; (iv) 4-bromo-3-(bromomethyl)-5Z-(bromomethylene)furan-2-one; or (v) 4-bromo-5-(dibromomethyl)-3-methylfuran-2(5H)-one. The brominated furanones inhibit the growth of both fungi and bacteria, including the fungal species Candida albicans, Gloeophyllum trabeum, Chaetomium globosum, and Trametes versicolor and the bacterial species Pseudomonas aeruginosa. The brominated furanones can be used topically or internally to treat human infections, and can be used to treat other objects, such as wood building supplies, to prevent fungal rot.
